Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R6.P3      0402                   19.7mm        14.8mm        19.7mm        14.8mm        19.7mm        15.3mm  B        270.00 Res3           
R6.P2      0402                   26.7mm         5.3mm        26.7mm         5.3mm        26.7mm         5.8mm  B        270.00 Res3           
R6.P1      0402                   19.7mm         5.3mm        19.7mm         5.3mm        19.7mm         5.8mm  B        270.00 Res3           
R39.P9     0402                   14.1mm        33.8mm        14.1mm        33.8mm        14.1mm        34.3mm  B        270.00 Res3           
R39.P8     0402                   20.6mm        33.8mm        20.6mm        33.8mm        20.6mm        34.3mm  B        270.00 Res3           
R39.P7     0402                   27.6mm        33.8mm        27.6mm        33.8mm        27.6mm        34.3mm  B        270.00 Res3           
R39.P6     0402                   27.6mm        24.3mm        27.6mm        24.3mm        27.6mm        24.8mm  B        270.00 Res3           
R39.P5     0402                   20.6mm        24.3mm        20.6mm        24.3mm        20.6mm        24.8mm  B        270.00 Res3           
R39.P4     0402                   27.6mm        14.8mm        27.6mm        14.8mm        27.6mm        15.3mm  B        270.00 Res3           
R39.P3     0402                   20.6mm        14.8mm        20.6mm        14.8mm        20.6mm        15.3mm  B        270.00 Res3           
R39.P2     0402                   27.6mm         5.3mm        27.6mm         5.3mm        27.6mm         5.8mm  B        270.00 Res3           
R39.P1     0402                   20.6mm         5.3mm        20.6mm         5.3mm        20.6mm         5.8mm  B        270.00 Res3           
R27.P9     J1-0603              11.975mm       28.95mm      11.975mm       28.95mm      12.725mm       28.95mm  B        180.00 Res3           
R27.P8     J1-0603              18.475mm       28.95mm      18.475mm       28.95mm      19.225mm       28.95mm  B        180.00 Res3           
R27.P7     J1-0603              25.475mm       28.95mm      25.475mm       28.95mm      26.225mm       28.95mm  B        180.00 Res3           
R27.P6     J1-0603              25.475mm       19.45mm      25.475mm       19.45mm      26.225mm       19.45mm  B        180.00 Res3           
R27.P5     J1-0603              18.475mm       19.45mm      18.475mm       19.45mm      19.225mm       19.45mm  B        180.00 Res3           
R27.P4     J1-0603              25.475mm        9.95mm      25.475mm        9.95mm      26.225mm        9.95mm  B        180.00 Res3           
R27.P3     J1-0603              18.475mm        9.95mm      18.475mm        9.95mm      19.225mm        9.95mm  B        180.00 Res3           
R27.P2     J1-0603              25.475mm        0.45mm      25.475mm        0.45mm      26.225mm        0.45mm  B        180.00 Res3           
R27.P1     J1-0603              18.475mm        0.45mm      18.475mm        0.45mm      19.225mm        0.45mm  B        180.00 Res3           
P1.P9      0603-ch-sel          12.575mm      33.625mm      12.575mm      33.625mm      11.175mm      34.175mm  T        180.00 0603-ch-sel    
P1.P8      0603-ch-sel          19.075mm      33.625mm      19.075mm      33.625mm      17.675mm      34.175mm  T        180.00 0603-ch-sel    
P1.P7      0603-ch-sel          26.075mm      33.625mm      26.075mm      33.625mm      24.675mm      34.175mm  T        180.00 0603-ch-sel    
P1.P6      0603-ch-sel          26.075mm      24.125mm      26.075mm      24.125mm      24.675mm      24.675mm  T        180.00 0603-ch-sel    
P1.P5      0603-ch-sel          19.075mm      24.125mm      19.075mm      24.125mm      17.675mm      24.675mm  T        180.00 0603-ch-sel    
P1.P4      0603-ch-sel          26.075mm      14.625mm      26.075mm      14.625mm      24.675mm      15.175mm  T        180.00 0603-ch-sel    
P1.P3      0603-ch-sel          19.075mm      14.625mm      19.075mm      14.625mm      17.675mm      15.175mm  T        180.00 0603-ch-sel    
P1.P2      0603-ch-sel          26.075mm       5.125mm      26.075mm       5.125mm      24.675mm       5.675mm  T        180.00 0603-ch-sel    
P1.P1      0603-ch-sel          19.075mm       5.125mm      19.075mm       5.125mm      17.675mm       5.675mm  T        180.00 0603-ch-sel    
I1.Bu3     3800-SERIES         39.1321mm     29.2742mm     39.1321mm     29.4743mm     41.8821mm     33.5742mm  T        180.00 38L432C        
I1.Bu2     3800-SERIES         39.1321mm     16.7742mm     39.1321mm     16.9743mm     41.8821mm     21.0742mm  T        180.00 38L432C        
I1.Bu1     3800-SERIES         39.1321mm      4.2743mm     39.1321mm      4.4742mm     41.8821mm      8.5742mm  T        180.00 38L432C        
C49.Bu3    C1210-Stacked-6.15     32.0071mm     32.2993mm     32.0071mm     32.2993mm     32.0071mm     30.9492mm  T         90.00 Cap Semi       
C49.Bu2    C1210-Stacked-6.15     32.0071mm     19.7993mm     32.0071mm     19.7993mm     32.0071mm     18.4492mm  T         90.00 Cap Semi       
